ajayeb,ajmal,amreaj,aood,asgar_ali,bukhoor,burberrry,dehenalaod,junaid,kausar,rose,solidmusk,TeaTreeOil,raspberry,RoseMusk,strawberry,constrected2,carolina_herrera,oudh_ma'alattar,constrected
64.558,60.502,57.040,71.083,68.209,71.046,61.096,68.132,71.590,74.631,62.999,46.014,82.394,78.999,85.056,71.999,66.805,63.076,67.197,65.151
64.556,60.489,57.040,72.087,68.209,71.046,61.096,69.137,71.575,74.649,62.999,46.014,82.382,78.999,85.056,71.999,65.808,63.072,67.197,66.151
64.543,61.485,57.040,71.091,68.216,71.046,60.093,69.137,71.574,74.650,62.999,46.014,82.383,78.999,85.056,71.999,65.808,64.072,67.204,66.151
64.543,60.487,58.041,71.095,68.216,71.046,60.092,68.137,71.560,74.650,62.999,46.014,82.372,78.999,85.056,70.999,66.805,64.068,67.210,66.151
64.541,61.485,58.041,71.099,68.223,71.046,60.093,68.137,71.560,74.650,62.999,46.014,82.382,79.999,85.056,71.999,66.805,63.065,67.204,65.146
64.543,61.513,58.041,72.103,68.223,71.046,60.093,69.142,71.559,74.632,62.999,46.015,82.372,78.999,85.056,71.999,65.785,64.065,67.204,66.151
64.543,60.515,58.041,71.099,68.223,71.046,61.096,69.142,72.573,74.632,61.999,46.015,82.416,78.999,85.056,71.999,65.785,65.064,67.210,65.146
64.541,60.500,57.042,72.099,68.223,71.046,61.096,68.137,71.559,74.632,62.999,46.015,82.440,78.999,85.056,71.999,65.785,64.061,67.210,65.146
64.541,60.500,57.042,72.099,68.230,71.046,61.096,68.137,71.559,73.633,62.999,46.015,82.428,79.999,85.056,71.999,65.785,65.061,67.210,65.146
64.541,60.487,58.043,73.098,68.230,70.046,61.096,68.137,71.559,73.650,62.999,46.015,82.416,78.999,85.056,71.999,66.782,63.062,67.210,65.146
64.541,60.500,58.043,72.094,68.230,69.046,60.092,69.142,71.559,73.650,62.999,46.015,82.382,78.999,85.056,71.999,65.765,63.062,67.204,65.146
64.541,61.526,58.043,73.094,68.230,70.046,60.092,69.142,72.588,74.667,62.999,46.015,82.372,78.999,85.056,71.999,66.763,63.062,66.198,65.146
64.541,60.528,58.043,72.091,68.230,70.046,60.092,69.142,72.588,74.667,61.999,46.015,82.383,78.999,85.056,71.999,66.760,64.065,67.197,65.146
64.528,60.528,58.043,72.091,68.230,69.046,60.092,69.142,72.587,73.650,62.999,46.015,82.394,79.999,85.056,70.999,66.760,63.058,67.197,65.146
64.528,60.528,57.042,72.091,68.223,69.046,61.092,69.142,72.573,73.633,62.999,46.015,82.405,79.999,85.056,70.999,66.760,65.061,66.198,65.146
63.529,60.500,58.041,72.095,68.223,70.048,61.092,68.142,72.572,73.617,62.999,46.015,82.394,78.999,85.056,70.999,66.739,65.061,67.203,65.146
63.529,61.483,58.041,72.095,68.223,70.048,60.089,68.142,72.571,73.617,62.999,46.015,82.382,78.999,85.056,71.999,66.722,65.058,67.203,65.146
64.541,61.485,58.041,72.095,68.223,70.048,60.089,69.142,72.557,73.617,62.999,46.015,82.383,79.999,85.056,71.999,66.722,65.057,66.198,65.146
64.541,60.472,58.041,72.095,68.230,70.049,60.089,69.142,72.557,73.617,62.999,46.015,82.383,79.999,85.056,71.999,66.722,65.055,66.198,66.145
64.541,60.472,58.041,71.095,67.224,70.049,60.089,69.142,72.556,73.585,62.999,46.015,82.383,78.999,85.056,70.999,67.736,66.054,66.204,66.145
64.541,60.461,58.041,71.095,67.217,70.049,60.089,69.142,72.556,73.584,62.999,46.015,82.394,79.999,85.056,71.999,66.719,66.054,67.211,66.145
64.541,61.470,58.041,72.103,67.217,70.048,60.092,69.142,72.557,73.600,62.999,46.015,82.394,79.999,85.056,71.999,66.719,65.055,66.204,66.145
64.541,60.487,58.041,71.103,68.223,70.049,60.089,69.142,72.556,73.601,62.999,46.015,82.394,79.999,85.056,71.999,66.701,65.055,67.217,66.145
64.541,60.487,58.041,71.103,68.223,70.048,60.089,68.137,72.542,73.601,61.999,46.015,82.394,79.999,85.056,70.999,66.701,64.055,66.211,66.145
64.528,61.485,58.041,71.103,68.223,70.046,60.089,69.137,72.542,73.585,62.999,46.015,82.383,79.999,85.056,70.999,67.717,63.052,66.212,66.145
64.528,60.487,58.041,72.103,68.223,70.046,61.088,69.137,72.556,73.585,62.999,46.015,83.382,79.999,85.056,70.999,66.701,64.052,66.211,66.145
64.528,60.472,58.041,72.103,68.223,70.048,61.088,69.137,72.556,73.585,62.999,46.015,82.372,78.999,85.056,70.999,66.698,63.052,66.211,66.145
64.528,60.472,58.041,72.098,68.230,71.048,60.089,69.136,72.556,73.585,61.999,46.015,82.361,78.999,85.056,70.999,66.698,63.052,67.218,66.150